pred_knn,pred_linear,pred_random_forest,Happiness_Index,Infants_Missing_DPT_Vaccine,Infants_Missing_measles_Vaccine,Teen_Birth_Rate,Working_Poor_Pct_3.10day,Country,Happiness_Rank,year,Coef_Human_Inequality,Elderly_Dependency_Pct,Empl_Agriculture,Empl_Nonagriculture_Pct_Female,Empl_Pop_Ratio,Empl_Services,Empl_Vulnerable_Pct,Expected_years_of_schooling,Exports_Imports_PctGDP,Female_Bank_Acct_Pct,Finance_Sector_Domestic_Credit_PctGDP,Foreign_Direct_Investment_PctGDP,GDP,GDP_pc,GNIpc_female,GNIpc_male,Gross_Capital_PctGDP,Gross_Fixed_Capital_PctGDP,Gross_National_Income,HDI_rank,Idx_Education,Idx_Gender_Development,Idx_Gender_Inequality,Idx_Human_Development,Idx_Human_Development_female,Idx_Human_Development_male,Idx_Income,Idx_IneqAdj_education,Idx_IneqAdj_income,Idx_IneqAdj_Life_Exp,Idx_Red_List,Ineq_education,Ineq_HDI_Loss,Ineq_income,Ineq_Life_Exp,Inequality-adjusted_HDI,Labor_Participation,Labor_Participation_female,Labor_Participation_male,Life_Exp_Birth,Life_Exp_Birth_female,Life_Exp_Birth_male,Life_Exp_index,MtoF_Ratio_birth,Parlaiment_Pct_Female,Pop_15–64,Pop_65,Pop_Total,Pop_under5,Pop_Urban_Pct,Private_capital_flows_PctGDP,Refugees_from_country_1000s,Remittances_inflows_PctGDP,School_Expected_Years_female,School_Expected_Years_male,School_Mean_Years,School_Mean_Years_female,School_Mean_Years_male,School_Secondary_Pop_Pct,School_Secondary_Pop_Pct_female,School_Secondary_Pop_Pct_male,Unemployment_FtoM_Ratio,Unemployment_total,Unemployment_youth,Young_Dependency_Pct,Youth_Unemployment_FtoM
6.738754398176479,5.605869098392327,6.102511851523472,6.825,3,1,28.379,0.5,United Arab Emirates,21,2017,NA,1.346,0.4,12.1,78.3,60.7,0.4,13.64343,172.811,76.41671753,100.7814908,NA,632.5684955,67293.48276,24972.689759999997,84129.77931000001,24.811620160000004,22.9897787,67804.55851,34,0.7383174999999998,0.968173096,0.23213911,0.8627566600000001,0.8319420620000001,0.8592906220000002,0.984764717,NA,NA,0.837331938,0.8657200000000002,NA,NA,NA,5.2,NA,79.7,40.9,92,77.412,78.924,76.71700000000001,0.883261538,1.05,22.5,7.986000000000001,0.107518,9.400145,0.457002,86.2,NA,0.14400000000000002,NA,14.3053,13.405400000000002,10.78,11.943,9.722199999999999,68.96000000000001,78.8,65.66,3.3846153849999996,1.7,5.1,16.355,1.214285714
3.2882712614434264,3.1679091087575473,3.5942694666666686,3.203,27,38,64.462,98.2,Afghanistan,154,2017,28.177390000000003,4.763,62.2,11.56,49.5,31.1,66.1,10.39716,NA,7.160684585999999,-2.387999655,0.256494,64.09582154,1803.987487,540.6781186000001,3030.0325660000003,NA,NA,1823.52936,168,0.41481000000000007,0.6251141989999999,0.6527251930000001,0.49769511399999994,0.364330332,0.582822039,0.43856900600000004,0.226630738,0.3913482810000001,0.485194646,0.8371900000000001,45.365170000000006,29.58972549,10.767,28.4,0.35042849600000003,54.2,19.5,86.7,64.04700000000001,65.425,62.764,0.677646154,1.06,27.44479495,19.247999999999998,0.916863,35.530080999999996,5.271263000000002,25.2,-0.4481857,2621.0910000000003,1.81713,8.0036,12.6552,3.7800000000000002,1.948,6.006,25.12,11.360000000000001,36.86,1.5875,8.8,17.7,79.824,1.053571429
4.810590869750909,5.532291817652182,5.310883828913879,4.719,1,4,20.667,1.5,Albania,107,2017,9.976052142,18.997999999999998,40.3,37.54,48.3,41.1,57.2,14.77288,78.0756,38.10295868000001,63.290499800000006,7.92276,33.91665026,11803.43059,9701.721796000002,14027.80057,25.224036579999996,25.224036579999996,11885.50814,68,0.7445281109999999,0.9704640259999999,0.23817487799999998,0.7849109729999999,0.7721221609999999,0.79562162,0.7217299260000001,0.6813119869999998,0.633409002,0.817130154,0.8549500000000001,8.490763886,9.990828240999999,12.237392539999998,9.2,0.706491866,56.1,47.2,64.9,78.495,80.595,76.543,0.8999230770000001,1.08,27.85714286,2.034,0.386419,2.930187,0.177175,59.4,-9.219334,12.176,10.0532,15.0308,14.4429,10.02511,9.832500000000001,10.238499999999998,92.89328427000001,93.09790235,92.76778303,0.93006993,13.9,30,25.061999999999998,0.964630225
4.797237882270601,5.316504145751332,4.996723888444893,4.559,3,4,23.165,10.1,Armenia,116,2017,9.791106667,16.336000000000002,34.4,42.4,49.2,49.7,41.6,12.96123,88.4535,40.906436920000004,58.23193784000001,2.12989,25.75156363,8787.57994,6357.535919,12281.06431,19.027547889999997,17.31200669,9143.677636999999,83,0.748951167,0.969369418,0.2624025650000001,0.7551126829999999,0.740196062,0.763585118,0.682114476,0.726969824,0.5631648300000001,0.7669480000000001,0.8446000000000001,2.9349499999999997,9.989291986,17.43837,9,0.679682272,60.1,51.4,70.6,74.782,77.79700000000001,71.427,0.8428000000000001,1.1300000000000001,18.0952381,2.0149999999999997,0.329162,2.9304499999999996,0.19823900000000003,63.1,-1.184851,10.797999999999998,13.3409,13.365200000000002,12.578299999999999,11.66751,11.663400000000001,11.672500000000001,97.22246,96.87118,97.64477,1.2317073169999997,18.2,39,29.096,1.1782477340000004
6.076854468957278,5.733617814953878,5.842944490476182,6.086,9,11,62.790000000000006,2.8,Argentina,47,2017,13.854097200000002,17.521,0.5,40.09,54.6,76.1,21.4,17.424039999999998,25.0146,50.75725174,39.242921120000005,1.8596599999999999,838.2237796000002,18933.907150000003,12394.535750000001,24788.78922,19.07339665,14.809083630000002,18460.73665,47,0.8156487780000001,0.997019855,0.35787238800000004,0.8248496500000002,0.816176203,0.8186157970000001,0.7882437339999999,0.764789401,0.584665279,0.7899675379999999,0.8608000000000001,6.235450612,14.30055514,25.82684098,9.5,0.706891571,59.9,47.3,73.2,76.738,80.44100000000002,72.96400000000001,0.8728923080000001,1.04,38.905775080000005,28.296,4.957669000000001,44.271041,3.737498,91.7,-7.112725999999999,0.129,0.090802,18.654400000000003,16.2,9.949430000000001,10.1322,9.6601,64.84,65.9,62.78,1.4931506849999998,8.7,24.7,38.934,1.1650943399999998
5.480474731047181,5.722507929562452,5.613310233882792,5.208,3,2,53.524,1.5,Azerbaijan,90,2017,9.874310603,8.511,37.4,43.83,62.8,48.5,56.1,12.650430000000002,90.6636,27.71962547,29.50439208,7.03716,156.29404309999998,15847.418829999999,10089.08007,21151.780310000002,24.14810844,23.620412599999998,15599.61753,80,0.7090844999999999,0.949377968,0.317567566,0.756965427,0.733754201,0.772878901,0.762805989,0.682395043,0.695229006,0.6655706149999999,0.90998,3.7639318100000008,10.041283389999998,8.859000000000002,17,0.6809563839999998,66.1,62.9,69.5,72.12299999999999,75.16499999999999,69.077,0.801892308,1.1300000000000001,16.8,6.949000000000001,0.5914039999999999,9.827589000000001,0.8846950000000001,55.3,-7.293640000000001,10.32,2.7814300000000003,12.643899999999999,12.6544,10.730509999999999,10.4502,11.0357,95.60848999999999,93.84367,97.52972999999999,1.295454545,5,13.7,32.922000000000004,1.0148148149999998
5.4064403466704425,5.483841338296445,5.343436266666669,5.386,8,31,10.019,0.2,Bosnia and Herzegovina,78,2017,15.27605608,23.909,19.1,32.7,34.7,48.7,20.9,14.218442999999999,86.9273,54.7417984,56.801496189999995,2.3897999999999997,41.08082814,11713.89478,7723.116587,15856.415889999998,20.47805386,16.75068974,11716.020700000001,77,0.718054083,0.923817063,0.16594619600000005,0.768450831,0.7394479469999999,0.8004268120000001,0.7195603639999998,0.576110601,0.5744943330000001,0.826444108,0.90357,19.767798229999997,15.52679932,20.16037,5.9,0.6491350120000001,46.6,35.2,58.7,77.087,79.56400000000001,74.551,0.8782615380000001,1.06,19.29824561,2.4299999999999997,0.581079,3.5070170000000003,0.15533000000000002,47.9,-1.5635189999999999,17.694000000000003,10.986400000000001,14.8911,14.4608,9.692919999999999,8.6328,10.853800000000001,79.87346,71.70435,88.71581,2.0888888889999997,25.6,55.4,20.387999999999998,1.2338530069999998
4.371824768770862,4.129834527256227,4.40666125638722,4.456,1,6,83.508,67.3,Bangladesh,125,2017,23.42182333,7.662999999999999,39.1,18.38,54,39.9,57.5,11.364567200000002,35.303999999999995,35.83634567,63.66930332000001,0.8615,580.2935432000002,3523.983851,2040.80038,5285.425679000001,30.51045153,30.51045153,3676.9233780000004,136,0.508459756,0.88117434,0.5423126869999999,0.6081558370000001,0.5670413860000001,0.6435064659999999,0.544504773,0.31876079300000004,0.459252096,0.671880246,0.7657,37.308550000000004,24.097789,15.65692,17.3,0.461603727,56.5,33,79.8,72.80799999999999,74.62299999999999,71.191,0.8124307689999999,1.05,20.285714289999994,109.55799999999999,8.395237000000002,164.66975099999996,15.166773,35.9,-0.6513528999999999,16.779999999999998,5.405260000000001,11.719199999999999,11.3061,5.783320000000001,5.2064,6.7268,45.5,44,48.160000000000004,2.1212121209999997,4.4,11.4,42.641,1.1067961169999998
4.271939986142508,4.257821755290644,4.358427707936503,4.587,5,12,104.329,66.8,Burkina Faso,115,2017,31.780691369999996,4.596,28.3,48.33,62.3,39.8,87.2,8.525590000000001,62.8303,34.49893570000001,31.644703829999997,NA,32.68828014,1703.101629,1288.547008,2013.507358,25.53614148,24.57205201,1650.0920959999999,183,0.2858062780000001,0.8702619770000001,0.610299994,0.4234231850000001,0.3934827800000001,0.45214290700000004,0.4234720840000001,0.17390513400000004,0.32103723599999995,0.4265169230000001,0.98915,39.15279412,32.054600259999994,24.18928,32,0.28769657600000004,66.5,58.2,75.2,60.77,61.431,59.98,0.6272307689999999,1.05,11.02362205,10.059000000000001,0.46229699999999996,19.193382,3.2817160000000003,28.7,NA,2.7030000000000003,3.4514399999999994,8.2766,8.7684,1.4695299999999998,1.006,2.0484,8.488349999999999,6.021845243,11.650446740000001,2.2195121949999996,6.3,8.6,86.208,1.563636364
3.7163368164509367,3.207088442599971,3.986830724236881,3.775,6,10,26.781999999999996,89.5,Burundi,145,2017,32.83918,4.886,91.5,21.66,77.7,6.1,92.4,11.684019999999999,NA,6.726228237,32.79912604000001,NA,7.629147845999999,702.225313,806.8546326999999,594.3088962,NA,NA,702.2560922,185,0.42351911100000006,1.001805984,0.47066428200000004,0.41721617400000005,0.4185802860000001,0.4178257000000001,0.2944269490000001,0.25627899500000006,0.23280536100000002,0.360515123,0.92128,39.48821,33.342550970000005,20.929329999999997,38.1,0.278105659,78.9,80.2,77.5,57.85699999999999,59.879,55.882999999999996,0.5824153849999998,1.03,37.80487804999999,5.6979999999999995,0.27838000000000007,10.864245,1.9521389999999998,12.7,NA,439.329,0.9635629999999998,11.2958,12.1114,2.96889,2.7174,3.6723,9.28,7.5,10.46,0.55,1.6,2.9,85.79700000000001,0.6904761899999998
