set_num,name,year,theme,subtheme,pieces,minifigs,usretailprice,rating,reviewcount,agemin,agemax,outside_brand,baby,education,broad_theme
1263-1,Easter Bunny,2000,Seasonal,Easter,27,NA,3,0,0,NA,,FALSE,FALSE,FALSE,Other
1272-1,Blue Racer,2000,Town,Race,23,1,3.95,0,0,NA,,FALSE,FALSE,FALSE,Other
1349-1,Steven Spielberg Moviemaker Set,2000,Studios,,442,7,180,3.9,10,NA,,FALSE,FALSE,FALSE,Other
2593-1,Baby Mickey,2000,Baby,Disney's Baby Mickey,8,1,10,3,1,NA,,FALSE,FALSE,FALSE,Other
2825-1,The Meadowsweets,2000,Duplo,Little Forest Friends,15,2,10,4,1,NA,,FALSE,TRUE,FALSE,Baby
2827-1,"Read, Listen and Play Box",2000,Duplo,Little Forest Friends,38,5,25,4,1,NA,,FALSE,TRUE,FALSE,Baby
2909-1,Helicopter,2000,Action Wheelers,,18,1,15,0,0,NA,,FALSE,FALSE,FALSE,Other
2912-1,Radical Racer,2000,Action Wheelers,,16,1,20,0,0,NA,,FALSE,FALSE,FALSE,Other
2913-1,Construction,2000,Action Wheelers,,29,2,30,0,0,NA,,FALSE,FALSE,FALSE,Other
2914-1,Rescue Base,2000,Action Wheelers,,44,3,50,0,0,NA,,FALSE,FALSE,FALSE,Other
2916-1,MyBot,2000,Action Wheelers,,31,1,50,5,1,NA,,FALSE,FALSE,FALSE,Other
2931-1,Push Locomotive,2000,Duplo,Trains,10,1,15,0,0,NA,,FALSE,TRUE,FALSE,Baby
2932-1,Train Starter Set with Motor,2000,Duplo,Trains,29,3,50,0,0,NA,,FALSE,TRUE,FALSE,Baby
2936-1,Train Station,2000,Duplo,Trains,40,3,30,4,1,NA,,FALSE,TRUE,FALSE,Baby
2937-1,Supplementary Wagon,2000,Duplo,Trains,9,1,9,5,1,NA,,FALSE,TRUE,FALSE,Baby
2938-1,Train Tunnel,2000,Duplo,Trains,14,1,15,0,0,NA,,FALSE,TRUE,FALSE,Baby
2942-1,Play House,2000,Duplo,,73,4,70,0,0,NA,,FALSE,TRUE,FALSE,Baby
2967-1,Special Tubes,2000,Duplo,,37,1,15,0,0,NA,,FALSE,TRUE,FALSE,Baby
3049-1,XL Idea Bucket,2000,Duplo,,78,1,15,0,0,NA,,FALSE,TRUE,FALSE,Baby
3148-1,Carla's Winter Camp,2000,Scala,,167,1,38,0,0,NA,,FALSE,FALSE,FALSE,Other
3149-1,Happy Home,2000,Scala,,265,3,100,0,0,NA,,FALSE,FALSE,FALSE,Other
3150-1,Puppy Playground,2000,Scala,,35,NA,8,0,0,NA,,FALSE,FALSE,FALSE,Other
3151-1,Emma on the Move,2000,Scala,,65,1,15,0,0,NA,,FALSE,FALSE,FALSE,Other
3152-1,Playroom for the Baby Thomas,2000,Scala,,81,1,15,0,0,NA,,FALSE,FALSE,FALSE,Other
3155-1,Olivia in Smooth Dress,2000,Scala,,6,1,9,0,0,NA,,FALSE,FALSE,FALSE,Other
3156-1,Hot Wear for Woman,2000,Scala,,3,NA,5,0,0,NA,,FALSE,FALSE,FALSE,Other
3157-1,Cool Wear for Girls,2000,Scala,,2,NA,5,0,0,NA,,FALSE,FALSE,FALSE,Other
3158-1,Christian in Tough Wear,2000,Scala,,7,1,9,0,0,NA,,FALSE,FALSE,FALSE,Other
3159-1,Celebration,2000,Scala,,41,NA,5,0,0,NA,,FALSE,FALSE,FALSE,Other
3346-1,Three Minifig Pack - Ninja #3,2000,Castle,Ninja,22,3,5,4,5,NA,,FALSE,FALSE,FALSE,Other
3351-1,Three Minifig Pack - City #2,2000,Town,City,21,3,5,5,2,NA,,FALSE,FALSE,FALSE,Other
3403-1,Fans' Grandstand with Scoreboard,2000,Sports,Football,81,3,15,4.14285714285714,7,NA,,FALSE,FALSE,FALSE,Other
3408-1,Super Sports Coverage,2000,Sports,Football,222,5,30,3.71428571428571,7,NA,,FALSE,FALSE,FALSE,Other
3409-1,Championship Challenge,2000,Sports,Football,294,12,50,4.7,10,NA,,FALSE,FALSE,FALSE,Other
3410-1,Field Expander,2000,Sports,Football,49,4,15,4,5,NA,,FALSE,FALSE,FALSE,Other
3412-1,Point Shooting,2000,Sports,Football,24,1,5,3,3,NA,,FALSE,FALSE,FALSE,Other
3414-1,Precision Shooting,2000,Sports,Football,24,1,5,5,1,NA,,FALSE,FALSE,FALSE,Other
3439-1,Spy Runner,2000,Town,Special,107,2,10,5,1,NA,,FALSE,FALSE,FALSE,Other
3450-1,Statue of Liberty,2000,Creator Expert,Sculptures,2882,NA,199,4.66666666666667,6,NA,,FALSE,FALSE,FALSE,Other
3731-1,Pumpkin Pack,2000,Bulk Bricks,Seasonal,87,NA,9.99,4.6,5,NA,,FALSE,FALSE,FALSE,Other
