set_num,name,year,theme,subtheme,pieces,minifigs,usretailprice,rating,reviewcount,agemin,agemax,outside_brand,baby,education,broad_theme
3732-1,Castle Expander Pack,2000,Bulk Bricks,Castle,24,NA,4.99,4,5,NA,,FALSE,FALSE,FALSE,Other
3735-1,Grey Train Doors with Panes,2000,Bulk Bricks,Trains,20,NA,7,0,0,4,,FALSE,FALSE,FALSE,Other
3736-1,Blue Train Doors with Panes,2000,Bulk Bricks,Trains,20,NA,7,0,0,NA,,FALSE,FALSE,FALSE,Other
3737-1,Train Accessories,2000,Bulk Bricks,Trains,15,NA,15,4,1,NA,,FALSE,FALSE,FALSE,Other
4164-1,Mickey's Fire Engine,2000,Mickey Mouse,,26,1,10,2.75,4,NA,,TRUE,FALSE,FALSE,Outside brand
4165-1,Minnie's Birthday Party,2000,Mickey Mouse,,82,2,17,4,2,NA,,TRUE,FALSE,FALSE,Outside brand
4166-1,Mickey's Car Garage,2000,Mickey Mouse,,88,1,20,0,0,NA,,TRUE,FALSE,FALSE,Outside brand
4167-1,Mickey's Mansion,2000,Mickey Mouse,,119,2,40,0,0,NA,,TRUE,FALSE,FALSE,Outside brand
4178-1,Mickey's Fishing Adventure,2000,Mickey Mouse,,104,2,24,0,0,NA,,TRUE,FALSE,FALSE,Outside brand
4806-1,Axe Cart,2000,Castle,Knights' Kingdom I,28,1,3,3.66666666666667,9,NA,,FALSE,FALSE,FALSE,Other
4807-1,Fire Attack,2000,Castle,Knights' Kingdom I,24,1,1.95,3,2,NA,,FALSE,FALSE,FALSE,Other
4811-1,Defense Archer,2000,Castle,Knights' Kingdom I,15,1,2,4.14285714285714,7,NA,,FALSE,FALSE,FALSE,Other
4817-1,Dungeon,2000,Castle,Knights' Kingdom I,38,2,5,3.6,5,NA,,FALSE,FALSE,FALSE,Other
4818-1,Dragon Rider,2000,Castle,Knights' Kingdom I,11,1,5,4.25,4,NA,,FALSE,FALSE,FALSE,Other
5206-1,Speed Computer,2000,Technic,,19,NA,20,4.33333333333333,3,NA,,FALSE,FALSE,FALSE,Other
5218-1,Pneumatic Pack,2000,Technic,,147,NA,28,4,1,NA,,FALSE,FALSE,FALSE,Other
5823-1,The Good Fairy's Bedroom,2000,Belville,Fairy-Tale,36,1,6,0,0,NA,,FALSE,FALSE,FALSE,Other
5824-1,The Good Fairy's House,2000,Belville,Fairy-Tale,66,1,8,0,0,NA,,FALSE,FALSE,FALSE,Other
5825-1,Stella and the Fairy,2000,Belville,Fairy-Tale,54,2,13,0,0,NA,,FALSE,FALSE,FALSE,Other
5826-1,The Queen's Room,2000,Belville,Fairy-Tale,79,1,17,4,1,NA,,FALSE,FALSE,FALSE,Other
5827-1,Royal Coach,2000,Belville,Fairy-Tale,83,3,27,0,0,NA,,FALSE,FALSE,FALSE,Other
5903-1,Johnny Thunder and Baby T,2000,Adventurers,Dino Island,23,1,2,2.83333333333333,6,NA,,FALSE,FALSE,FALSE,Other
5904-1,Microcopter,2000,Adventurers,Dino Island,28,1,2,2,1,NA,,FALSE,FALSE,FALSE,Other
5911-1,Johnny Thunder's Plane,2000,Adventurers,Dino Island,22,1,3,2.8,5,NA,,FALSE,FALSE,FALSE,Other
5921-1,Research Glider,2000,Adventurers,Dino Island,57,1,6,3.5,8,NA,,FALSE,FALSE,FALSE,Other
5934-1,Dino Explorer,2000,Adventurers,Dino Island,88,2,14.99,4.25,12,6,12,FALSE,FALSE,FALSE,Other
5935-1,Island Hopper,2000,Adventurers,Dino Island,205,1,20,4.44444444444444,9,NA,,FALSE,FALSE,FALSE,Other
5955-1,All Terrain Trapper,2000,Adventurers,Dino Island,185,3,30,4.5,4,NA,,FALSE,FALSE,FALSE,Other
5975-1,T-Rex Transport,2000,Adventurers,Dino Island,321,5,50,4.55555555555556,9,NA,,FALSE,FALSE,FALSE,Other
5987-1,Dino Research Compound,2000,Adventurers,Dino Island,617,6,80,4.75,12,NA,,FALSE,FALSE,FALSE,Other
6026-1,King Leo,2000,Castle,Knights' Kingdom I,21,2,5,3.71428571428571,14,NA,,FALSE,FALSE,FALSE,Other
6032-1,Catapult Crusher,2000,Castle,Knights' Kingdom I,56,1,6,3.8,5,NA,,FALSE,FALSE,FALSE,Other
6091-1,King Leo's Castle,2000,Castle,Knights' Kingdom I,529,8,90,4,4,NA,,FALSE,FALSE,FALSE,Other
6095-1,Royal Joust,2000,Castle,Knights' Kingdom I,101,3,20,3.66666666666667,6,NA,,FALSE,FALSE,FALSE,Other
6096-1,Bull's Attack,2000,Castle,Knights' Kingdom I,313,4,50,4.4,5,NA,,FALSE,FALSE,FALSE,Other
6098-1,King Leo's Castle,2000,Castle,Knights' Kingdom I,529,8,90,4.125,8,NA,,FALSE,FALSE,FALSE,Other
6423-1,Mini Tow Truck,2000,Town,City,35,1,5,3.66666666666667,3,NA,,FALSE,FALSE,FALSE,Other
6470-1,Mini Dump Truck,2000,Town,City,25,1,3,4.125,8,NA,,FALSE,FALSE,FALSE,Other
6471-1,4WD Police Patrol,2000,Town,City,30,1,5,3.44444444444444,9,NA,,FALSE,FALSE,FALSE,Other
6519-1,Turbo Tiger,2000,Town,Race,47,1,5,4,4,NA,,FALSE,FALSE,FALSE,Other
6520-1,Mobile Outpost,2000,Town,Arctic,218,2,29.99,4.57142857142857,7,7,12,FALSE,FALSE,FALSE,Other
6573-1,Arctic Expedition,2000,Town,Arctic,121,2,15,3.75,4,7,12,FALSE,FALSE,FALSE,Other
6575-1,Polar Base,2000,Town,Arctic,441,6,60,4,1,8,12,FALSE,FALSE,FALSE,Other
6577-1,Snow Scooter,2000,Town,Arctic,21,1,2,2.8,5,NA,,FALSE,FALSE,FALSE,Other
6579-1,Ice Surfer,2000,Town,Arctic,43,1,5,4,7,NA,,FALSE,FALSE,FALSE,Other
6600-2,Highway Construction,2000,Town,City,317,5,80,4,8,NA,,FALSE,FALSE,FALSE,Other
6602-2,Scorpion Buggy,2000,Town,Race,78,1,10,4.6,5,NA,,FALSE,FALSE,FALSE,Other
6616-1,Rocket Dragster,2000,Town,Race,147,1,20,4,2,NA,,FALSE,FALSE,FALSE,Other
6617-1,Tough Truck Rally,2000,Town,Race,383,4,50,4.5,2,NA,,FALSE,FALSE,FALSE,Other
6619-1,Red Four Wheel Driver,2000,Town,Race,20,1,2,3,2,NA,,FALSE,FALSE,FALSE,Other
6626-2,Snow Scooter,2000,Town,Arctic,20,1,2,3.66666666666667,3,NA,,FALSE,FALSE,FALSE,Other
6713-1,Grip 'n' Go Challenge,2000,Town,Race,291,3,30,4,3,NA,,FALSE,FALSE,FALSE,Other
6714-1,Speed Dragster,2000,Town,Race,80,1,15,3.5,2,NA,,FALSE,FALSE,FALSE,Other
7104-1,Desert Skiff,2000,Star Wars,Episode VI,55,2,6,3.74074074074074,27,NA,,TRUE,FALSE,FALSE,Outside brand
7115-1,Gungan Patrol,2000,Star Wars,Episode I,77,2,10,4.38888888888889,18,NA,,TRUE,FALSE,FALSE,Outside brand
7124-1,Flash Speeder,2000,Star Wars,Episode I,106,1,10,4.68421052631579,19,NA,,TRUE,FALSE,FALSE,Outside brand
7134-1,A-wing Fighter,2000,Star Wars,Episode VI,125,2,15,4.4,10,NA,,TRUE,FALSE,FALSE,Outside brand
7144-1,Slave I,2000,Star Wars,Episode V,166,2,20,3.94736842105263,19,NA,,TRUE,FALSE,FALSE,Outside brand
7155-1,Trade Federation AAT,2000,Star Wars,Episode I,158,2,20,4.53333333333333,15,NA,,TRUE,FALSE,FALSE,Outside brand
7180-1,B-wing at Rebel Control Center,2000,Star Wars,Episode VI,338,3,30,4.3,10,NA,,TRUE,FALSE,FALSE,Outside brand
7184-1,Trade Federation MTT,2000,Star Wars,Episode I,470,7,50,4.18181818181818,11,NA,,TRUE,FALSE,FALSE,Outside brand
7190-1,Millennium Falcon,2000,Star Wars,Episode IV,663,6,100,4.53846153846154,13,NA,,TRUE,FALSE,FALSE,Outside brand
8001-1,Battle Droid,2000,Star Wars,Technic,363,NA,30,4.66666666666667,6,NA,,TRUE,FALSE,FALSE,Outside brand
8236-1,Bike Burner,2000,Technic,Speed Slammers,60,NA,6,4,3,NA,,FALSE,FALSE,FALSE,Other
8279-1,4WD X-Track,2000,Technic,,449,NA,70,0,0,NA,,FALSE,FALSE,FALSE,Other
8305-1,Duel Bikes,2000,Technic,Competition,192,2,30,0,0,NA,,FALSE,FALSE,FALSE,Other
8457-1,Power Puller,2000,Technic,,979,1,100,5,3,NA,,FALSE,FALSE,FALSE,Other
8509-1,Swamp,2000,Technic,Robo Riders,45,NA,6,4.5,4,NA,,FALSE,FALSE,FALSE,Other
8510-1,Lava,2000,Technic,Robo Riders,35,NA,6,4.5,6,NA,,FALSE,FALSE,FALSE,Other
8511-1,Frost,2000,Technic,Robo Riders,44,NA,6,4,5,NA,,FALSE,FALSE,FALSE,Other
8512-1,Onyx,2000,Technic,Robo Riders,37,NA,6,4.75,4,NA,,FALSE,FALSE,FALSE,Other
8513-1,Dust,2000,Technic,Robo Riders,46,NA,6,4,5,NA,,FALSE,FALSE,FALSE,Other
8514-1,Power,2000,Technic,Robo Riders,32,NA,6,4.2,5,NA,,FALSE,FALSE,FALSE,Other
8515-1,RoboRider Wheels,2000,Technic,Robo Riders,4,NA,2,3.5,2,NA,,FALSE,FALSE,FALSE,Other
8521-1,Flare,2000,Technic,Slizer,44,NA,6,4.57142857142857,7,NA,,FALSE,FALSE,FALSE,Other
8522-1,Spark,2000,Technic,Slizer,35,NA,6,4.625,8,NA,,FALSE,FALSE,FALSE,Other
9534-1,Mosaic Tiles,2000,Education,,258,NA,64,0,0,NA,,FALSE,FALSE,TRUE,Educational
1100-1,Sky Pirates,2001,Town,Special,109,2,17,4,1,NA,,FALSE,FALSE,FALSE,Other
1351-1,Movie Backdrop Studio,2001,Studios,,211,3,60,4,2,NA,,FALSE,FALSE,FALSE,Other
1353-1,Car Stunt Studio,2001,Studios,,166,2,20,3,1,NA,,FALSE,FALSE,FALSE,Other
1356-1,Stuntman Catapult,2001,Studios,,29,2,4,4.36363636363636,11,NA,,FALSE,FALSE,FALSE,Other
1357-1,Cameraman,2001,Studios,,21,1,2,4.18181818181818,11,NA,,FALSE,FALSE,FALSE,Other
1360-1,Director's Copter,2001,Studios,,22,1,3,4,1,NA,,FALSE,FALSE,FALSE,Other
1361-1,Camera Car,2001,Studios,,20,1,3,4.5,2,NA,,FALSE,FALSE,FALSE,Other
1362-1,Air Boat,2001,Studios,,24,1,3,2,2,NA,,FALSE,FALSE,FALSE,Other
1363-1,Stunt Go-Cart,2001,Studios,,25,1,3,2,1,NA,,FALSE,FALSE,FALSE,Other
1403-1,Racing Leopard,2001,Duplo,,2,1,3,0,0,NA,,FALSE,TRUE,FALSE,Baby
1404-1,Racing Tiger,2001,Duplo,,2,1,3,0,0,NA,,FALSE,TRUE,FALSE,Baby
1405-1,Racing Lion,2001,Duplo,,2,1,3,0,0,NA,,FALSE,TRUE,FALSE,Baby
2946-1,MyBot Expansion Kit,2001,Action Wheelers,,14,1,13,0,0,NA,,FALSE,FALSE,FALSE,Other
2947-1,Speedbike,2001,Action Wheelers,,13,1,15,0,0,NA,,FALSE,FALSE,FALSE,Other
2951-1,Lisa,2001,Duplo,Dolls,4,2,10,0,0,NA,,FALSE,TRUE,FALSE,Baby
2952-1,Marie,2001,Duplo,Dolls,6,2,10,0,0,NA,,FALSE,TRUE,FALSE,Baby
2953-1,Anna,2001,Duplo,Dolls,4,2,10,0,0,NA,,FALSE,TRUE,FALSE,Baby
2961-1,Bedroom,2001,Duplo,Dolls,20,NA,20,0,0,NA,,FALSE,TRUE,FALSE,Baby
3083-1,Flying Action,2001,Duplo,,9,2,10,4,1,NA,,FALSE,TRUE,FALSE,Baby
3088-1,Growing Garden,2001,Duplo,,19,1,10,4.5,2,NA,,FALSE,TRUE,FALSE,Baby
3089-1,Adventure Trip,2001,Duplo,,29,2,15,0,0,NA,,FALSE,TRUE,FALSE,Baby
3090-1,Forest Picnic,2001,Duplo,,24,4,15,0,0,NA,,FALSE,TRUE,FALSE,Baby
3092-1,Friendly Farm,2001,Duplo,,10,1,10,0,0,NA,,FALSE,TRUE,FALSE,Baby
3093-1,Fun Playground,2001,Duplo,,24,4,20,0,0,NA,,FALSE,TRUE,FALSE,Baby
3095-1,Wildlife Park,2001,Duplo,,32,3,40,0,0,NA,,FALSE,TRUE,FALSE,Baby
3121-1,Summer Day Out,2001,Scala,,20,1,8,0,0,NA,,FALSE,FALSE,FALSE,Other
3123-1,Emma's Chill-Out Kitchen,2001,Scala,,58,1,20,0,0,NA,,FALSE,FALSE,FALSE,Other
3124-1,Indie's Stable,2001,Scala,,95,NA,50,0,0,NA,,FALSE,FALSE,FALSE,Other
3263-1,Goozle,2001,Duplo,Zooters,10,NA,10,0,0,NA,,FALSE,TRUE,FALSE,Baby
3264-1,Tez,2001,Duplo,Zooters,9,NA,10,0,0,NA,,FALSE,TRUE,FALSE,Baby
3265-1,Wazo,2001,Duplo,Zooters,6,NA,12,5,1,NA,,FALSE,TRUE,FALSE,Baby
3266-1,Tubes,2001,Duplo,,58,NA,15,0,0,NA,,FALSE,TRUE,FALSE,Baby
3267-1,Brick Runner,2001,Duplo,,25,NA,10,0,0,NA,,FALSE,TRUE,FALSE,Baby
3271-1,Bob's Workshop,2001,Duplo,Bob the Builder,10,1,6,3,2,NA,,FALSE,TRUE,FALSE,Baby
3272-1,Scoop on the Road,2001,Duplo,Bob the Builder,21,NA,10,4.5,2,NA,,FALSE,TRUE,FALSE,Baby
3273-1,"Bob, Lofty and the Mice",2001,Duplo,Bob the Builder,18,1,15,3.5,2,NA,,FALSE,TRUE,FALSE,Baby
3275-1,Bob's Big Building Box,2001,Duplo,Bob the Builder,51,1,20,0,0,NA,,FALSE,TRUE,FALSE,Baby
3276-1,Muck and Scoop,2001,Duplo,Bob the Builder,52,2,30,0,0,NA,,FALSE,TRUE,FALSE,Baby
3416-1,Women's Team,2001,Sports,Football,62,6,9.95,3.5,2,NA,,FALSE,FALSE,FALSE,Other
3451-1,Sopwith Camel,2001,Creator Expert,Aircraft,574,NA,50,4.25,12,12,,FALSE,FALSE,FALSE,Other
3740-1,Small Locomotive,2001,Trains,9V,67,NA,15,5,1,NA,,FALSE,FALSE,FALSE,Other
3743-1,Locomotive Blue Bricks,2001,Trains,9V,106,NA,7,0,0,NA,,FALSE,FALSE,FALSE,Other
3744-1,Locomotive Green Bricks,2001,Trains,9V,106,NA,7,0,0,NA,,FALSE,FALSE,FALSE,Other
3745-1,Locomotive Black Bricks,2001,Trains,9V,106,NA,7,0,0,NA,,FALSE,FALSE,FALSE,Other
3746-1,Locomotive Brown Bricks,2001,Trains,9V,106,NA,7,0,0,NA,,FALSE,FALSE,FALSE,Other
3748-1,Light Unit for Train,2001,Trains,9V,4,NA,10,0,0,NA,,FALSE,FALSE,FALSE,Other
3800-1,Ultimate Builders Set,2001,Mindstorms,1.5,321,NA,60,3,1,NA,,FALSE,FALSE,TRUE,Educational
4016-1,Racer,2001,Creator,,21,NA,2,4.66666666666667,3,NA,,FALSE,FALSE,FALSE,Other
4017-1,Sea Helicopter,2001,Creator,,13,NA,2,3,1,NA,,FALSE,FALSE,FALSE,Other
4018-1,Ship,2001,Creator,,12,NA,2,5,1,NA,,FALSE,FALSE,FALSE,Other
4019-1,Aeroplane,2001,Creator,,17,NA,2,4,1,NA,,FALSE,FALSE,FALSE,Other
4115-1,All That Drives Bucket,2001,Creator,,165,1,8,5,1,NA,,FALSE,FALSE,FALSE,Other
4116-1,Animal Adventures Bucket,2001,Creator,,209,2,10,0,0,NA,,FALSE,FALSE,FALSE,Other
4118-1,"Buildings, Mansions and Shops",2001,Creator,,361,3,30,0,0,NA,,FALSE,FALSE,FALSE,Other
4120-1,Fun and Cool Transportation,2001,Creator,,606,2,20,4,2,NA,,FALSE,FALSE,FALSE,Other
4172-1,Tina's House,2001,Creator,,43,1,4,3,1,NA,,FALSE,FALSE,FALSE,Other
4173-1,Max's Pitstop,2001,Creator,,58,1,7,4,1,NA,,FALSE,FALSE,FALSE,Other
4174-1,Max Goes Flying,2001,Creator,,172,1,15,0,0,NA,,FALSE,FALSE,FALSE,Other
4176-1,The Race of the Year,2001,Creator,,323,3,25,0,0,NA,,FALSE,FALSE,FALSE,Other
4566-1,Gear,2001,Racers,Xalax,8,NA,3,4,5,NA,,FALSE,FALSE,FALSE,Other
4567-1,Surfer,2001,Racers,Xalax,8,NA,3,4.33333333333333,6,NA,,FALSE,FALSE,FALSE,Other
4568-1,Loopin,2001,Racers,Xalax,8,NA,3,3.2,5,NA,,FALSE,FALSE,FALSE,Other
4569-1,Warrior,2001,Racers,Xalax,8,NA,3,3.83333333333333,6,NA,,FALSE,FALSE,FALSE,Other
4570-1,Shredd,2001,Racers,Xalax,8,NA,3,3.5,2,NA,,FALSE,FALSE,FALSE,Other
4571-1,Spiky,2001,Racers,Xalax,8,NA,3,3.75,4,NA,,FALSE,FALSE,FALSE,Other
4572-1,Scratch,2001,Racers,Xalax,8,NA,3,3.5,2,NA,,FALSE,FALSE,FALSE,Other
4573-1,Lightor,2001,Racers,Xalax,8,NA,3,3.85714285714286,7,NA,,FALSE,FALSE,FALSE,Other
4574-1,Rip,2001,Racers,Xalax,8,NA,3,4,3,NA,,FALSE,FALSE,FALSE,Other
4575-1,Pulse,2001,Racers,Xalax,8,NA,3,3.33333333333333,3,NA,,FALSE,FALSE,FALSE,Other
4576-1,Duster,2001,Racers,Xalax,7,NA,3,3.5,4,NA,,FALSE,FALSE,FALSE,Other
4577-1,Snake,2001,Racers,Xalax,8,NA,3,4.25,4,NA,,FALSE,FALSE,FALSE,Other
4578-1,Ghost,2001,Racers,Xalax,8,NA,3,5,1,NA,,FALSE,FALSE,FALSE,Other
4600-1,Police Cruiser,2001,Jack Stone,,22,1,4,3.5,4,NA,,FALSE,FALSE,FALSE,Other
4601-1,Fire Cruiser,2001,Jack Stone,,21,1,4,2,4,NA,,FALSE,FALSE,FALSE,Other
4603-1,Res-Q Wrecker,2001,Jack Stone,,29,1,7,3,3,NA,,FALSE,FALSE,FALSE,Other
4604-1,Police Copter,2001,Jack Stone,,14,2,7,2.4,5,NA,,FALSE,FALSE,FALSE,Other
4605-1,Fire Response SUV,2001,Jack Stone,,28,2,10,2.5,2,NA,,FALSE,FALSE,FALSE,Other
4606-1,Aqua Res-Q Transport,2001,Jack Stone,,38,2,13,5,1,NA,,FALSE,FALSE,FALSE,Other
4607-1,Copter Transport,2001,Jack Stone,,64,2,20,4,2,NA,,FALSE,FALSE,FALSE,Other
4608-1,Bank Breakout,2001,Jack Stone,,65,3,20,3,4,NA,,FALSE,FALSE,FALSE,Other
4609-1,Fire Attack Team,2001,Jack Stone,,90,3,35,1,1,NA,,FALSE,FALSE,FALSE,Other
4610-1,Aqua Res-Q Super Station,2001,Jack Stone,,88,4,50,0,0,NA,,FALSE,FALSE,FALSE,Other
4611-1,Police HQ,2001,Jack Stone,,132,5,70,3.5,2,NA,,FALSE,FALSE,FALSE,Other
4701-1,Sorting Hat,2001,Harry Potter,Philosopher's Stone,48,1,7,3.66666666666667,18,NA,,TRUE,FALSE,FALSE,Outside brand
4702-1,The Final Challenge,2001,Harry Potter,Philosopher's Stone,60,2,10,3.91666666666667,12,NA,,TRUE,FALSE,FALSE,Outside brand
4705-1,Snape's Class,2001,Harry Potter,Philosopher's Stone,163,3,20,4.36363636363636,11,NA,,TRUE,FALSE,FALSE,Outside brand
4706-1,Forbidden Corridor,2001,Harry Potter,Philosopher's Stone,238,3,30,4,10,NA,,TRUE,FALSE,FALSE,Outside brand
4707-1,Hagrid's Hut,2001,Harry Potter,Philosopher's Stone,299,2,30,4.33333333333333,6,NA,,TRUE,FALSE,FALSE,Outside brand
4708-1,Hogwarts Express,2001,Harry Potter,Philosopher's Stone,410,3,50,4.4,10,NA,,TRUE,FALSE,FALSE,Outside brand
4709-1,Hogwarts Castle,2001,Harry Potter,Philosopher's Stone,682,9,90,4.53333333333333,15,NA,,TRUE,FALSE,FALSE,Outside brand
4723-1,Diagon Alley Shops,2001,Harry Potter,Philosopher's Stone,80,1,10,3.8,5,NA,,TRUE,FALSE,FALSE,Outside brand
5339-1,Small Bucket with Dog,2001,Duplo,,42,1,18,0,0,NA,,FALSE,TRUE,FALSE,Baby
5831-1,Adventurous Puppies,2001,Belville,Fairy-Tale,15,NA,5,0,0,NA,,FALSE,FALSE,FALSE,Other
5832-1,Vanilla's Magic Tea Party,2001,Belville,Fairy-Tale,14,1,9,0,0,NA,,FALSE,FALSE,FALSE,Other
5833-1,Rosita's Wonderful Stable,2001,Belville,Fairy-Tale,40,1,17,0,0,NA,,FALSE,FALSE,FALSE,Other
5834-1,The Enchanted Garden,2001,Belville,Fairy-Tale,103,2,42,0,0,NA,,FALSE,FALSE,FALSE,Other
6290-1,Red Beard Runner,2001,Pirates,,698,7,99.99,4.5,10,8,12,FALSE,FALSE,FALSE,Other
6291-1,Armada Flagship,2001,Pirates,,280,3,50,4.42857142857143,7,NA,,FALSE,FALSE,FALSE,Other
6292-1,Enchanted Island,2001,Pirates,Islanders,419,7,70,4.66666666666667,6,NA,,FALSE,FALSE,FALSE,Other
6472-1,Gas N' Wash Express,2001,Town,Shops and Services,470,3,50,4,2,NA,,FALSE,FALSE,FALSE,Other
6719-1,Brachiosaurus,2001,Dinosaurs,,25,NA,10,3.5,2,NA,,FALSE,FALSE,FALSE,Other
6720-1,Tyrannosaurus Rex,2001,Dinosaurs,,23,NA,10,3.83333333333333,6,NA,,FALSE,FALSE,FALSE,Other
6721-1,Mosasaurus,2001,Dinosaurs,,26,NA,10,4,3,NA,,FALSE,FALSE,FALSE,Other
6722-1,Styracosaurus,2001,Dinosaurs,,19,NA,10,3.5,2,NA,,FALSE,FALSE,FALSE,Other
6771-1,Ogel Command Striker,2001,Alpha Team,,29,1,4,4.45454545454545,11,NA,,FALSE,FALSE,FALSE,Other
6772-1,Alpha Team Cruiser,2001,Alpha Team,,57,1,7,4.57142857142857,7,NA,,FALSE,FALSE,FALSE,Other
6773-1,Alpha Team Helicopter,2001,Alpha Team,,79,1,10,4.64285714285714,14,NA,,FALSE,FALSE,FALSE,Other
6774-1,Alpha Team ATV,2001,Alpha Team,,134,2,20,4.33333333333333,9,7,12,FALSE,FALSE,FALSE,Other
6775-1,Alpha Team Bomb Squad,2001,Alpha Team,,190,3,35,4.75,12,NA,,FALSE,FALSE,FALSE,Other
6776-1,Ogel Control Center,2001,Alpha Team,,422,3,50,4.33333333333333,6,NA,,FALSE,FALSE,FALSE,Other
7000-1,Baby Ankylosaurus,2001,Dinosaurs,,37,NA,3,4.33333333333333,3,NA,,FALSE,FALSE,FALSE,Other
7001-1,Baby Iguanodon,2001,Dinosaurs,,23,NA,3,4.33333333333333,3,NA,,FALSE,FALSE,FALSE,Other
7002-1,Baby Brachiosaurus,2001,Dinosaurs,,31,NA,3,4.33333333333333,3,NA,,FALSE,FALSE,FALSE,Other
